gene_id,MCF-7,MCF-7-ADR
AHDC1,3.782592083,4.075384243
AHI1,8.165313638,5.711852024
AHNAK,84.81265724,161.3528303
AHNAK2,0.166392094,11.35964505
AHR,46.778702,23.702032
AHRR,4.435643107,9.211304976
AHSA1,67.74153049,64.11810526
AHSG,0.037805,4.96409591
AHSP,0,0.244958406
AICDA,0,0
AIDA,29.281918,26.597092
AIF1,0,0.210183891
AIF1L,35.90726868,5.469249604
AIFM1,31.21781858,13.24842746
AIFM2,6.939397106,0.550003
AIFM3,0.588373661,0.141023548
AIG1,3.97814686,3.387012837
AIM2,0,0
AIMP1,14.43255855,17.38532297
AIMP2,34.77049024,36.49925909
AIP,19.01380721,29.83737597
AIPL1,0,0
AIRE,0.032438,0
AJAP1,0,3.626648591
AJM1,0.513471,0.524605
AJUBA,10.09604219,23.7860561
AK1,15.13080736,6.981229644
AK2,17.20475843,20.40341406
AK3,6.947569933,6.773709205
AK4,21.77042894,5.867126515
AK5,0.113028249,1.295187091
AK6,10.4879578,22.10065743
AK7,6.22960397,0.036471311
AK8,0.440454573,0.358993078
AK9,0.719755301,0.415185766
AKAIN1,0,0
AKAP1,35.70365067,22.09155184
AKAP10,11.18851687,9.975984959
AKAP11,15.337905,10.586903
AKAP12,0.297209465,107.8981957
AKAP13,12.96910064,16.02362049
AKAP14,0,0
AKAP17A,5.4764005,1.59359
AKAP3,0.117329773,0.927332782
AKAP4,0,0
AKAP5,1.277867,4.906042
AKAP6,0.218847,0.798026
AKAP7,1.660118527,1.340344274
AKAP8,12.266963,12.055262
AKAP8L,42.643768,21.157934
AKAP9,20.24082511,6.661642324
AKIP1,9.541108948,13.93807944
AKIRIN1,24.4943141,39.25206454
AKIRIN2,25.613796,73.601234
AKNA,3.698580612,2.498876167
AKNAD1,0.585137,0.236282
AKR1A1,39.97370803,20.42892088
AKR1B1,0.08009521,77.28356308
AKR1B10,0.223183,0
AKR1B15,0.053781578,0
AKR1C1,5.20039,0.203044
AKR1C2,3.699368432,0.041885675
AKR1C3,2.543737409,1.765248477
AKR1C4,0,0.030339
AKR1D1,0.467181,0.05243
AKR1E2,6.978764395,1.672598802
AKR7A2,9.640745094,4.980654585
AKR7A3,0.478714,0.346804
AKR7L,0.302033,0.292056
AKT1,53.44895517,29.94280447
AKT1S1,9.90483081,9.573118955
AKT2,11.09894313,12.59386234
AKT3,0.114078931,27.58947047
AKTIP,18.53088542,3.647903963
ALAD,4.011836277,4.22114441
ALAS1,15.99676268,31.19302923
ALAS2,0.017966087,0.116960107
ALB,0,0
ALCAM,45.57851742,39.89093765
ALDH16A1,2.074385,3.968140017
ALDH18A1,46.01685486,17.14087117
ALDH1A1,0,0
ALDH1A2,0,1.175273384
ALDH1A3,1.446243,5.956069903
ALDH1B1,8.731791,14.309036
ALDH1L1,0.036520044,0.614748914
ALDH1L2,61.43491,61.248726
ALDH2,0.018709,1.692015
ALDH3A1,0.090307847,0
ALDH3A2,12.38218775,3.169388039
ALDH3B1,1.169338926,2.02533096
ALDH3B2,36.0465617,0
ALDH4A1,4.770041288,0.98114913
ALDH5A1,12.95582828,3.95838973
ALDH6A1,9.575950753,2.425550395
ALDH7A1,18.8153879,12.655827
ALDH8A1,0,0.067569
ALDH9A1,15.90425609,26.00612139
ALDOA,297.482445,70.16335908
ALDOB,0,0
ALDOC,17.041445,0.157144
ALG1,4.560588795,9.755479508
ALG10,5.771652,5.896491
ALG10B,1.000408387,2.030197187
ALG11,7.079064,7.701663
ALG12,2.952585,1.893374
ALG13,6.700896203,11.16733713
ALG14,0.741593011,0.653660719
ALG1L,4.98129086,1.945529
ALG1L2,0,0.220251
ALG2,16.822803,6.715625
ALG3,12.03786496,10.37067266
ALG5,14.9516047,7.886405615
ALG6,5.026885,4.213148
ALG8,15.0135935,37.61957756
ALG9,2.865390227,4.359286665
ALK,0,1.001074555
ALKAL1,0,0
ALKAL2,0.944751,0.690505
ALKBH1,5.500486,15.557847
ALKBH2,12.95413083,13.03282633
ALKBH3,8.04997,20.849592
ALKBH4,3.135546,2.031432
ALKBH5,33.73885,16.265022
ALKBH6,8.109900371,3.090250999
ALKBH7,4.555862,4.027256
ALKBH8,3.274751923,8.471982939
ALLC,0,0
ALMS1,15.060473,6.547507
ALOX12,1.465848,1.219317
ALOX12B,0.14213,0.199447
ALOX15,7.410844,0.119745
ALOX15B,0,0.024219315
ALOX5,0.245670602,1.279378527
ALOX5AP,0.047260755,0.944982262
ALOXE3,0.501956502,0.735369853
ALPG,0,0.013238
ALPI,0,0
ALPK1,6.755238269,6.156258524
ALPK2,0.008128,4.088373
ALPK3,0.353578,0.126654
ALPL,0.147830677,1.3840622
ALPP,0,0.212973
ALS2,7.904768046,10.75479364
ALS2CL,1.616767,1.110612
ALX1,0,5.316742
ALX3,1.969541,1.974877
ALX4,0.135391,0.394864
ALYREF,17.102694,17.022879
AMACR,0.940294441,0.937691424
AMBN,0,0
AMBP,0.184874,0.020528
AMBRA1,9.650801158,4.625769338
AMD1,25.53330526,48.23091868
AMDHD1,0.051846,1.550505
AMDHD2,2.098829865,2.326117402
AMELX,0,0
AMELY,0,0
AMER1,5.550325,1.658908
AMER2,0,0
AMER3,0.018333149,0.010248068
AMFR,53.6182924,27.92227869
AMH,0.196485,0.051361
AMHR2,0,0
AMIGO1,3.209883,0.340983
AMIGO2,58.28582546,13.19552563
AMIGO3,0.473363,0.994876
AMMECR1,6.851581935,3.584129897
AMMECR1L,15.2109347,33.47193023
AMN,0,0.104472
AMN1,2.402420805,1.801844842
AMOT,3.611977824,1.614193449
AMOTL1,7.304582056,20.27265281
AMOTL2,15.89930471,43.34040897
AMPD1,1.17994,0
AMPD2,14.39283897,3.632259789
AMPD3,0.702994946,1.402851341
AMPH,0.052910771,2.705182585
AMT,2.075444641,1.146689489
AMTN,0.435562,0
AMY1A,0,0
AMY1B,0,0
AMY1C,0,0.017907703
AMY2A,0,0
AMY2B,0.024907,1.2399
AMZ1,17.62275404,0.419625728
AMZ2,71.67724925,21.61933154
ANAPC1,20.743824,48.734188
ANAPC10,5.72537298,8.01272829
ANAPC11,3.53663221,3.698163757
ANAPC13,24.00456004,30.0537328
ANAPC15,11.20194162,5.49662479
ANAPC16,19.09135954,12.09453704
ANAPC2,4.917348,2.917273
ANAPC4,5.757213127,9.257395198
ANAPC5,31.64213891,39.33020544
ANAPC7,17.07196811,42.77264772
ANG,2.68038962,1.12560226
ANGEL1,7.533168044,4.201989926
ANGEL2,5.767520454,3.745759789
ANGPT1,2.442050238,0.538304835
ANGPT2,0.132728,1.025402032
ANGPT4,0.036831,0.068919
ANGPTL1,1.476746,1.562125
ANGPTL2,0.428163,1.078337
ANGPTL3,0.277438,0.384495
ANGPTL4,3.817635,2.128712
ANGPTL5,0.012713,0
ANGPTL6,0.094445255,0.070215024
ANGPTL7,0.578274,0.80637
ANGPTL8,1.432112,0.165383
ANHX,0,0
ANK1,0.167153751,0.225677898
ANK2,0.55426773,10.43195411
ANK3,7.875291139,0.358963867
ANKAR,0.994754,0.631289
ANKDD1A,1.031337,1.629808
ANKDD1B,0.089505,0.190508
ANKEF1,4.664075874,0.832244134
ANKFN1,0,0.062585298
ANKFY1,5.70726016,13.74309943
ANKH,7.188077,9.951866
ANKHD1,43.30422319,24.64769296
ANKHD1-EIF4EBP3,1.866006,13.437332
ANKIB1,26.116823,9.944868
ANKK1,0,0.025843
ANKLE1,0.059567,4.40178732
ANKLE2,15.21137,27.70215
ANKMY1,2.516035383,1.832633563
ANKMY2,16.356005,15.274979
ANKRA2,5.813915,1.985397
ANKRD1,0.091523,115.690758
ANKRD10,6.82842215,4.780406418
ANKRD11,51.73365451,28.34789062
ANKRD12,15.06330222,9.620305891
ANKRD13A,8.266934,44.044601
ANKRD13B,3.441065,1.285695
ANKRD13C,5.287483,7.003817
ANKRD13D,5.186062153,3.305772365
ANKRD16,3.460582468,2.071833444
ANKRD17,31.27597086,26.32028478
ANKRD18A,6.521918299,4.282518022
ANKRD18B,2.676746,11.622501
ANKRD2,0,0.355534
ANKRD20A1,0,0
ANKRD20A2,0,0.181318
ANKRD20A3,0,0.460947333
ANKRD20A4,0,1.120597
ANKRD22,0.394158,0.034031
ANKRD23,2.592504,0.678824
ANKRD24,0.549328,0.161253
ANKRD26,7.998659041,12.84526432
ANKRD27,14.924445,22.912889
ANKRD28,19.21424105,11.6406377
ANKRD29,0.05764,0.745273956
ANKRD30A,7.718451,0.317573
ANKRD30B,0.852519,1.788524
ANKRD30BL,0,0
ANKRD31,0.700010487,1.607171333
ANKRD33,0,0
ANKRD33B,0.006303,5.445669
ANKRD34A,2.864834,0.57812
ANKRD34B,3.238904,0.035199
ANKRD34C,0,0
ANKRD35,0.410093648,0
ANKRD36,10.74477268,24.26301908
ANKRD36B,5.657579824,13.01254917
ANKRD36C,5.781532,18.62784
ANKRD37,1.694139,4.963533
ANKRD39,7.332468,4.104762
ANKRD40,23.834263,37.900185
ANKRD40CL,0.159217,0
ANKRD42,2.649808174,8.066773952
ANKRD44,1.417479157,0.40922522
ANKRD45,0.361182,0.08524
ANKRD46,3.452983956,2.734737617
ANKRD49,5.071409,9.979733
ANKRD50,15.70940566,22.68489729
ANKRD52,35.165417,12.437105
ANKRD53,0.096380342,0.33083136
ANKRD54,3.438679994,7.209771414
ANKRD55,0,0.040139
ANKRD6,0.739895737,5.990489094
ANKRD60,0,0.096253
ANKRD61,4.232347,2.521893
ANKRD62,0.021803,0
ANKRD63,0.042528,0.498276
ANKRD65,0,0
ANKRD66,0,0
ANKRD7,0,0.484126
ANKRD9,1.043481628,0.480468
ANKS1A,8.092107,8.946483
ANKS1B,5.953786734,0.993303943
ANKS3,3.968812567,5.044429368
ANKS4B,0,0
ANKS6,2.551381,1.72943
ANKUB1,0,0
ANKZF1,13.93506488,4.057598561
ANLN,21.56082618,69.47065909
ANO1,0.660937,0.144993
ANO10,9.594538922,4.400694877
ANO2,0,0.48214782
ANO3,0.627118637,0
ANO4,0,3.168176253
ANO5,0,2.40523363
ANO6,19.68381897,25.1932714
ANO7,0.419597129,1.007347445
ANO8,2.780076,0.905191
ANO9,0.263720644,0.167951
ANOS1,7.103027,0
ANP32A,126.220665,109.972191
ANP32B,243.213623,87.133789
ANP32C,0.026569,2.231642
ANP32D,0,0
ANP32E,48.23248589,31.05909449
ANPEP,0.068758,44.957355
ANTKMT,1.943049783,2.2734761
ANTXR1,4.167327983,25.56558332
ANTXR2,0.159806332,4.07591453
ANTXRL,0,0.135647825
ANXA1,0.835408,472.42511
ANXA10,0.016525,0
ANXA11,11.18311694,9.383492004
ANXA13,0,0.167412
ANXA2,144.5284801,610.7200183
ANXA2R,11.407635,1.024382
ANXA3,10.311276,67.09404
ANXA4,14.15404924,3.625733292
ANXA5,143.277557,601.161194
ANXA6,16.40567893,22.78464617
ANXA7,46.66018089,35.01082889
ANXA8,0.153555,0
ANXA8L1,0.00566927,0
ANXA9,52.835964,0.578639
AOAH,0,0.20398
AOC1,0.109545,0.292545
AOC2,0.933449,1.715079499
AOC3,0.222388564,0.41566859
AOPEP,6.951109197,1.297217359
AOX1,0.264162,8.371384
AP1AR,6.930448926,13.50033823
AP1B1,53.02439234,17.07107058
AP1G1,54.71376548,40.8571592
AP1G2,25.38659702,19.22841537
AP1M1,2.187742159,2.016161902
AP1M2,66.92514116,7.835715
AP1S1,55.04845,17.538166
AP1S2,7.718030058,8.160643227
AP1S3,3.202755,4.697162
AP2A1,14.56239664,12.54761277
AP2A2,10.09393607,16.4508098
AP2B1,50.34502625,52.76284248
AP2M1,129.6612979,206.0516867
AP2S1,47.86491025,29.48166055
AP3B1,20.23487963,16.72075247
AP3B2,0.733025219,0.212619015
AP3D1,27.86740647,29.82776912
AP3M1,16.05216027,21.72004401
AP3M2,8.905605343,13.72656955
AP3S1,56.07779272,46.66419743
AP3S2,5.063241,3.142006
AP4B1,22.29570251,3.127094641
AP4E1,15.29991676,7.634661091
AP4M1,2.077548446,0.893324964
AP4S1,3.375405718,2.495101626
AP5B1,1.835247,4.995365
AP5M1,2.383583,5.230695
AP5S1,5.032028015,6.991142994
AP5Z1,4.691623305,4.034988627
APAF1,4.131241215,8.01812514
APBA1,0.290215,0.410387
APBA2,0,1.877522225
APBA3,0.875589,2.480807
APBB1,0,5.172707352
APBB1IP,2.072917,13.508206
APBB2,13.10460414,19.61752559
APBB3,1.89083,1.863756
APC,8.899642451,10.61287843
APC2,0.282216,0.748512222
APCDD1,0.228899,0.203844
APCDD1L,0.696182,1.305398
APCS,0,0
APEH,19.064188,23.9949
APELA,0,0
APEX1,162.9199945,126.2182423
APEX2,5.350266164,6.511233
APH1A,20.48265143,3.717805209
APH1B,3.174656634,1.332265047
API5,60.05498228,53.05687051
APIP,56.591728,14.526731
APLF,0.071124,4.562308
APLN,0.018742,0.4704
APLNR,0,0
APLP1,2.871433054,0.550819473
APLP2,194.1011595,68.92808469
APMAP,67.350822,28.569868
APOA1,0.189364176,0.054777458
APOA2,0,0
APOA4,0,0.022004
APOA5,0.029542,0
APOB,0,0
APOBEC1,0,0
APOBEC2,1.036953,0.5574
APOBEC3A,0,0.46792
